LoanID,loan_amnt,purpose,fico,dti,income,loanIndicator
70,8000,debt_consolidation,692,9.7,35e3,1
71,10000,debt_consolidation,712,7,24e3,1
72,25000,debt_consolidation,742,14.15,67e3,0
73,19750,debt_consolidation,722,22.8,45e3,0
74,10000,debt_consolidation,712,14.81,31200,1
75,13650,debt_consolidation,677,24.09,66e3,1
76,28000,debt_consolidation,687,20.7,52e3,0
77,18000,debt_consolidation,722,27.55,56964,1
79,21000,debt_consolidation,672,23.21,7e4,1
80,35000,debt_consolidation,742,22.71,125e3,1
81,7000,debt_consolidation,677,15.8,3e4,1
82,24000,home_improvement,717,9.17,9e4,0
83,5000,debt_consolidation,672,18.3,24e3,1
84,8850,debt_consolidation,737,17.71,62e3,1
85,6375,debt_consolidation,732,4.8,44e3,1
87,10000,debt_consolidation,737,10.82,56e3,1
88,13500,debt_consolidation,747,12.38,38e3,1
89,16000,debt_consolidation,667,15.8,55e3,1
90,21600,debt_consolidation,677,16.74,6e4,1
91,8450,debt_consolidation,692,22.51,25e3,1
94,12000,debt_consolidation,682,10.86,57e3,1
95,8000,debt_consolidation,712,18.28,34e3,1
96,16000,debt_consolidation,737,17.44,42656.4,0
97,15000,home_improvement,672,3.59,44400,1
98,22000,debt_consolidation,742,13.22,5e4,1
99,6000,major_purchase,697,24.53,94800,1
101,2500,debt_consolidation,732,16.3,12e3,0
102,13500,debt_consolidation,727,22.93,36e3,1
103,25000,debt_consolidation,712,8.32,225e3,1
105,4000,debt_consolidation,697,12.12,135e3,1
107,9600,debt_consolidation,687,11.65,65e3,1
108,14000,debt_consolidation,702,15.52,3e4,1
109,15000,debt_consolidation,667,19.63,42e3,0
110,15000,debt_consolidation,667,16.03,75e3,0
111,11000,debt_consolidation,722,10.94,129e3,1
112,35000,debt_consolidation,762,3.17,168e3,1
113,9000,debt_consolidation,707,8.89,74e3,1
114,22475,debt_consolidation,717,15.23,52e3,1
115,16000,debt_consolidation,697,20.64,58500,0
116,13500,debt_consolidation,712,11.97,71e3,1
117,24000,debt_consolidation,702,11.6,75e3,1
118,28000,home_improvement,717,12.07,14e4,1
119,14000,debt_consolidation,752,11.15,66e3,1
120,25000,debt_consolidation,737,6.88,1e5,1
121,9000,debt_consolidation,697,17.81,5e4,1
122,20000,debt_consolidation,717,22.38,75e3,1
123,3000,medical,682,21.84,71e3,1
126,29500,debt_consolidation,692,20.93,83e3,1
127,2000,other,682,17.74,41e3,1
129,15075,debt_consolidation,702,20.16,35e3,0
130,5300,debt_consolidation,662,24.88,3e4,1
132,8650,debt_consolidation,682,7.6,45e3,1
133,21000,debt_consolidation,697,7.75,109e3,1
134,16000,debt_consolidation,697,11.04,5e4,1
135,9500,other,697,23.54,52500,0
136,7400,debt_consolidation,692,8.45,25e3,1
137,24250,debt_consolidation,672,12.96,12e4,1
138,7200,debt_consolidation,722,7.98,68e3,0
139,26000,home_improvement,732,11.77,53e3,0
141,4000,major_purchase,722,18.17,65e3,1
142,1500,debt_consolidation,667,8.23,144e3,1
143,19600,debt_consolidation,697,11.62,75e3,1
144,2500,debt_consolidation,687,18.7,29e3,1
145,16500,debt_consolidation,747,9.06,47e3,1
146,22000,debt_consolidation,667,15.62,55e3,1
147,12000,debt_consolidation,677,14.87,71e3,1
148,15600,vacation_wedding,742,5.78,5e4,1
149,10800,debt_consolidation,677,12.12,135e3,1
150,18825,debt_consolidation,702,24.98,44e3,1
151,14125,debt_consolidation,727,23.13,33e3,1
152,13200,small_business,692,9.64,26400,1
153,10500,debt_consolidation,777,10.36,65e3,1
154,5500,major_purchase,707,6.65,59e3,1
155,7350,debt_consolidation,697,22.51,33e3,1
156,10000,debt_consolidation,722,18.31,39e3,0
157,8000,other,747,16.22,31e3,1
158,4500,other,702,23.43,50700,1
159,18000,debt_consolidation,722,12.51,75e3,1
161,7000,debt_consolidation,692,15.57,75e3,1
162,35000,debt_consolidation,722,12,85e3,1
163,16000,small_business,732,16.22,35e3,0
164,11875,debt_consolidation,727,23.75,25920,0
165,35000,debt_consolidation,737,17.73,85e3,1
166,18000,debt_consolidation,742,7,78e3,1
167,8000,debt_consolidation,677,14.04,7e4,1
168,10000,debt_consolidation,742,4.63,5e4,1
169,12000,debt_consolidation,687,18.51,35e3,1
170,23200,debt_consolidation,742,27.99,65e3,1
171,18000,debt_consolidation,712,11.41,84e3,1
172,10400,debt_consolidation,732,11.67,4e4,1
173,13250,debt_consolidation,672,23.7,52e3,1
174,12000,debt_consolidation,707,15.97,92500,1
175,25000,debt_consolidation,742,10.35,61e3,1
176,30000,small_business,757,0.94,7e4,0
177,20000,debt_consolidation,667,20.91,59e3,0
178,10000,debt_consolidation,682,24.39,4e4,1
179,35000,debt_consolidation,687,20.16,85e3,1
180,28000,debt_consolidation,722,12.35,1e5,1
181,20000,debt_consolidation,747,9.25,45e3,1
182,18000,debt_consolidation,732,10,11e4,1
184,25000,debt_consolidation,687,12.6,61500,0
185,20000,debt_consolidation,717,10.79,78216,0
186,18000,debt_consolidation,707,7.82,62e3,1
187,24000,debt_consolidation,682,8.83,50964,1
188,20000,debt_consolidation,727,12.15,56e3,1
189,12000,debt_consolidation,682,22.49,50700,1
190,18000,debt_consolidation,692,21.96,6e4,1
191,5000,debt_consolidation,697,23.84,3e4,0
192,25000,debt_consolidation,697,19.63,75e3,1
193,18000,debt_consolidation,677,11.32,9e4,1
195,10000,debt_consolidation,692,13.87,84e3,1
196,15000,debt_consolidation,692,17.85,155e3,1
197,12000,debt_consolidation,727,8.71,62e3,1
198,20000,debt_consolidation,752,5.23,175e3,1
199,20000,debt_consolidation,702,22.82,5e4,1
200,35000,debt_consolidation,727,7.94,208e3,1
201,8250,home_improvement,697,15.6,35004,1
202,20000,home_improvement,727,10.21,85e3,1
203,24000,major_purchase,767,3.94,116400,0
205,12000,debt_consolidation,697,16.36,57200,0
206,16000,debt_consolidation,667,17.2,114e3,1
207,16000,home_improvement,672,16.89,54e3,1
209,9875,debt_consolidation,727,24.03,4e4,1
211,4800,debt_consolidation,732,13,48e3,1
212,20000,debt_consolidation,707,6.21,7e4,1
213,18000,debt_consolidation,712,23.41,91e3,1
214,9000,debt_consolidation,677,17.01,45e3,1
215,3000,other,672,10.73,53004,1
216,25000,debt_consolidation,687,20.04,6e4,0
217,25000,debt_consolidation,692,18.5,82e3,1
218,10000,debt_consolidation,667,13.09,53e3,1
219,8875,debt_consolidation,697,23.11,35360,0
220,15550,debt_consolidation,712,23.36,54e3,1
221,25000,debt_consolidation,687,17.15,85e3,1
222,12000,debt_consolidation,717,6.75,32e3,0
223,24000,debt_consolidation,767,10.58,75e3,1
224,12000,debt_consolidation,717,17.08,40246,1
225,15000,debt_consolidation,737,24.76,3e4,0
228,16000,debt_consolidation,722,13.67,9e4,1
229,35000,home_improvement,742,16.53,105e3,1
230,6000,debt_consolidation,797,1.68,30084,0
231,15700,debt_consolidation,682,17.43,63e3,1
233,9900,debt_consolidation,707,14.09,26400,1
234,4000,home_improvement,687,7.5,24e3,1
236,8850,major_purchase,717,7.67,89122,1
237,15000,debt_consolidation,737,6.48,3e4,1
238,30000,home_improvement,677,17.57,92e3,1
239,15000,debt_consolidation,692,14.56,100500,1
240,23000,debt_consolidation,702,8.94,95e3,1
243,1500,other,677,4.59,17e3,0
245,9600,debt_consolidation,687,10.22,27e3,1
246,25975,debt_consolidation,727,26.13,13e4,1
247,15000,debt_consolidation,722,5.61,8e4,1
248,10000,debt_consolidation,732,27.92,72500,1
249,14000,debt_consolidation,722,15.2,3e4,1
251,15000,debt_consolidation,672,2.82,75e3,1
252,10000,home_improvement,732,7.98,12e4,1
255,35000,debt_consolidation,702,11.72,195e3,1
256,7200,debt_consolidation,682,20.95,54990,1
257,18000,debt_consolidation,737,18.18,4e4,0
258,23000,debt_consolidation,757,8.13,137e3,1
259,20000,debt_consolidation,702,9.46,6e4,0
261,21000,debt_consolidation,707,8.52,135e3,1
262,8250,debt_consolidation,757,17.87,31500,1
263,13000,debt_consolidation,707,8.82,65e3,1
264,18800,debt_consolidation,767,13.76,82e3,1
266,19200,debt_consolidation,732,19.66,42e3,1
267,12875,debt_consolidation,697,18.7,27600,1
268,18000,debt_consolidation,722,13.7,40900,1
269,4000,debt_consolidation,722,10.05,13e4,1
270,14400,debt_consolidation,662,7.82,51871,0
271,4375,debt_consolidation,697,13.92,15e3,1
272,6000,other,712,14.43,47e3,1
274,4000,home_improvement,762,3.89,12e4,1
275,15000,small_business,672,21.99,11e4,0
277,10400,debt_consolidation,712,19.91,44e3,1
278,4500,debt_consolidation,687,22.63,51600,1
279,11500,debt_consolidation,692,13.06,38500,1
280,10000,home_improvement,762,24.85,75e3,1
281,18225,debt_consolidation,722,20.8,37320,1
282,18500,major_purchase,762,0.72,1e5,1
284,8000,major_purchase,707,10.22,85e3,1
286,16000,debt_consolidation,732,24.66,51e3,0
287,8000,debt_consolidation,702,11.56,55e3,1
288,7200,debt_consolidation,727,19.74,47e3,1
289,12000,debt_consolidation,737,13.3,86e3,1
290,20000,other,727,17.78,49e3,1
291,28000,debt_consolidation,757,15.87,85e3,1
292,6000,debt_consolidation,747,23.86,5e4,1
294,20000,debt_consolidation,697,18.06,6e4,1
295,25000,debt_consolidation,727,13.41,85e3,1
296,14050,major_purchase,737,2.21,12e4,1
297,16100,debt_consolidation,727,27.8,36e3,1
298,35000,debt_consolidation,687,16.39,85e3,0
299,10525,debt_consolidation,737,7.27,49668,1
300,7200,debt_consolidation,687,5.2,3e4,1
301,18500,debt_consolidation,812,26.34,4e4,1
302,12000,debt_consolidation,692,16.2,4e4,1
303,9500,debt_consolidation,667,18.51,54011,1
304,19775,debt_consolidation,717,17.57,49110.32,1
305,12000,debt_consolidation,717,16.13,75e3,0
306,28000,debt_consolidation,737,9.46,95e3,1
307,30000,debt_consolidation,727,22.23,8e4,1
308,16000,debt_consolidation,732,13.33,55e3,1
313,21250,other,717,14.27,37e3,0
314,10000,debt_consolidation,682,13.46,75e3,1
315,25000,debt_consolidation,692,10.58,75e3,1
316,4000,debt_consolidation,667,21.91,39e3,1
317,20000,debt_consolidation,717,9.09,68e3,1
319,3600,other,682,12.78,4e4,1
320,6000,debt_consolidation,677,20.13,31e3,1
321,15000,debt_consolidation,682,10.72,6e4,0
323,5000,home_improvement,757,8.16,39396,1
324,5000,debt_consolidation,662,19.63,98e3,1
326,15000,debt_consolidation,687,17.97,95e3,0
327,4000,home_improvement,702,15.2,45e3,0
328,20000,debt_consolidation,777,11.19,114996,1
329,12000,debt_consolidation,677,13.81,54400,0
330,7000,debt_consolidation,677,24.64,72800,1
331,8000,debt_consolidation,677,14.23,42500,0
332,13000,debt_consolidation,662,11.65,61e3,1
333,13000,debt_consolidation,682,12.9,28e3,0
334,20000,debt_consolidation,662,16.72,12e4,1
335,18000,debt_consolidation,682,16.4,96e3,1
336,10000,debt_consolidation,672,17.03,83200,1
337,22250,debt_consolidation,717,23.07,45e3,1
338,24000,debt_consolidation,702,21.29,68809,0
339,8000,home_improvement,767,11.52,57600,1
340,22500,debt_consolidation,722,10.91,48500,1
341,22000,debt_consolidation,702,12.1,58e3,1
342,5000,other,702,16.17,7e4,1
343,3150,vacation_wedding,672,4.37,53e3,1
344,12000,debt_consolidation,692,8.49,28e3,0
345,28000,home_improvement,747,5.29,118e3,0
346,8400,debt_consolidation,737,11.86,25e3,1
347,7000,debt_consolidation,687,24,36e3,1
348,18550,debt_consolidation,672,21.68,45e3,1
350,8575,debt_consolidation,667,22.54,32e3,0
351,28000,debt_consolidation,742,23.41,84996,0
352,25000,debt_consolidation,672,21.68,92e3,1
353,16000,debt_consolidation,697,18.39,49e3,0
354,25000,debt_consolidation,722,13.9,76896,1
355,16800,debt_consolidation,712,14.52,6e4,1
358,10000,debt_consolidation,697,15.9,36e3,0
359,5000,debt_consolidation,707,13.92,7e4,1
360,10000,debt_consolidation,672,16.61,51360,1
361,25000,vacation_wedding,757,4.4,163e3,1
362,2400,medical,682,13.7,59393,1
365,18500,debt_consolidation,677,20.89,68e3,0
367,24500,debt_consolidation,692,9.09,85e3,0
368,22200,debt_consolidation,672,13.33,16e4,0
369,21400,debt_consolidation,677,19.66,8e4,1
370,9400,debt_consolidation,712,11.84,45500,1
371,9600,home_improvement,697,15.54,156e3,1
372,17000,debt_consolidation,712,18.63,4e4,1
373,25000,debt_consolidation,687,16.19,96e3,1
374,16950,debt_consolidation,702,14.47,5e4,1
375,30000,debt_consolidation,722,26.82,8e4,1
376,10800,debt_consolidation,667,2.67,11e4,1
377,35000,debt_consolidation,742,12.09,106e3,1
378,15000,debt_consolidation,672,20.85,51e3,1
379,3000,debt_consolidation,682,11.42,35e3,1
380,22250,debt_consolidation,692,15.63,41e3,0
381,18000,debt_consolidation,702,21.22,5e4,1
382,6000,debt_consolidation,687,7.2,3e4,1
383,7650,debt_consolidation,707,23.96,57e3,0
384,21000,debt_consolidation,697,13.55,11e4,1
385,20675,other,722,23.31,50132,0
386,13200,debt_consolidation,732,12.06,62500,1
387,12000,debt_consolidation,737,20.7,6e4,1
388,20000,debt_consolidation,687,9.06,13e4,1
389,27050,debt_consolidation,702,19.75,65e3,1
390,22500,debt_consolidation,712,18.8,67735,1
391,20500,debt_consolidation,737,28.32,47800,0
394,29000,debt_consolidation,747,7.22,65e3,0
396,14125,debt_consolidation,732,22.54,32e3,1
397,12000,debt_consolidation,747,4.17,94500,1
398,9575,debt_consolidation,737,18.34,19498,1
399,10000,debt_consolidation,677,22.61,45e3,1
400,25000,debt_consolidation,737,10.77,89e3,1
401,24000,debt_consolidation,732,14.17,12e4,1
402,9000,debt_consolidation,742,4.44,5e4,1
403,18000,debt_consolidation,662,17.98,68e3,1
404,30000,small_business,732,19.12,9e4,1
405,21600,home_improvement,682,10.85,58600,0
406,7600,small_business,717,6.29,5e4,1
407,7000,debt_consolidation,687,15.11,85e3,1
409,3600,other,662,5.59,44004,1
410,10000,debt_consolidation,722,17.3,6e4,1
411,4500,debt_consolidation,677,19.56,19200,1
412,10700,debt_consolidation,707,16.41,68e3,1
413,20000,vacation_wedding,752,12.84,5e4,1
414,10800,debt_consolidation,697,11.22,23e3,1
415,25000,debt_consolidation,697,20.67,50400,1
417,6000,debt_consolidation,702,17.48,83954,1
418,25000,debt_consolidation,737,25.4,6e4,1
419,10000,debt_consolidation,662,19.98,4e4,1
421,35000,debt_consolidation,742,26.33,9e4,1
422,11000,debt_consolidation,742,24.1,48e3,1
423,6500,debt_consolidation,687,13.45,30600,1
424,20000,debt_consolidation,672,18.02,69e3,1
425,12000,debt_consolidation,677,8.85,45e3,1
426,21000,debt_consolidation,742,3.69,150500,1
427,8400,debt_consolidation,667,16.95,32e3,1
429,12000,major_purchase,707,6.3,6e4,0
431,3050,major_purchase,732,3.5,16800,1
432,9000,debt_consolidation,692,19.55,38e3,1
433,10000,debt_consolidation,727,18.37,95e3,1
434,10000,debt_consolidation,672,20.05,77400,0
436,35000,debt_consolidation,747,19.42,7e4,1
437,7200,debt_consolidation,717,11.84,67e3,1
438,21000,debt_consolidation,707,8.76,9e4,1
439,27000,debt_consolidation,727,7.44,14e4,1
440,28625,debt_consolidation,712,21.25,55e3,1
441,4000,debt_consolidation,672,5.41,32400,1
442,7300,other,682,12.79,5e4,1
443,18000,debt_consolidation,742,17.76,7e4,1
444,5000,other,732,19.37,35e3,1
445,6500,debt_consolidation,702,19.06,46212,1
446,14100,small_business,687,4.83,43e3,1
447,35000,small_business,712,4.29,14e4,1
449,25000,debt_consolidation,682,15.56,95e3,1
450,28000,debt_consolidation,702,9.08,235e3,1
451,10000,small_business,682,5.73,8e4,1
452,10000,small_business,672,0.89,55e3,1
453,5000,debt_consolidation,747,4.12,55e3,1
455,20050,debt_consolidation,667,24.84,67500,1
456,7000,vacation_wedding,677,20.31,41e3,0
457,25000,debt_consolidation,742,6.17,12e4,1
458,8400,debt_consolidation,662,15.07,41500,1
459,24925,debt_consolidation,672,17.74,6e4,1
460,5000,debt_consolidation,692,18.5,75e3,1
461,12000,debt_consolidation,692,6.51,8e4,1
462,6000,major_purchase,772,15.25,48e3,1
463,10000,debt_consolidation,752,13.42,5e4,1
465,4400,small_business,672,2.65,8e4,1
466,20000,small_business,682,18.41,7e4,1
467,25000,debt_consolidation,722,14.65,8e4,1
470,20000,debt_consolidation,722,27.67,5e4,1
471,18000,debt_consolidation,707,12.87,66e3,0
472,13000,debt_consolidation,702,4.96,8e4,1
473,35000,debt_consolidation,707,19.03,1e5,1
474,35000,debt_consolidation,717,19.34,123e3,1
475,7200,debt_consolidation,672,22.22,6e4,1
476,25000,small_business,742,5.66,15e4,1
477,15000,other,677,6.93,9e4,1
478,35000,debt_consolidation,682,14.79,71316,0
480,13000,debt_consolidation,667,10.9,36e3,1
481,28000,debt_consolidation,752,14.64,65e3,1
483,16000,debt_consolidation,732,10.36,65e3,1
485,12000,debt_consolidation,737,8.36,83e3,0
486,17000,small_business,777,8.94,12e4,1
487,30000,debt_consolidation,712,15.72,106e3,1
488,12500,debt_consolidation,712,17.32,58e3,1
489,10000,major_purchase,682,18.69,4e4,1
490,7500,debt_consolidation,767,5.08,48e3,1
491,19200,debt_consolidation,722,11.37,4e4,1
492,16000,debt_consolidation,697,11.98,6e4,1
493,20000,debt_consolidation,742,14.99,65e3,1
494,9000,debt_consolidation,697,1.99,5e4,1
495,9600,debt_consolidation,727,27.34,55e3,0
496,18000,home_improvement,737,10.97,133224,1
497,15000,debt_consolidation,692,13.83,38e3,0
498,12000,debt_consolidation,662,21.32,38e3,1
499,12000,medical,717,22.77,41e3,1
500,7200,other,682,20.19,23e3,1
503,11000,debt_consolidation,712,23.66,32e3,1
505,3000,debt_consolidation,677,7.25,105e3,1
506,8200,debt_consolidation,702,5.06,42e3,0
507,5000,major_purchase,687,13.92,35e3,1
508,6400,debt_consolidation,707,10.75,23e3,1
509,18000,debt_consolidation,747,22.03,36e3,1
510,13200,debt_consolidation,682,24.36,4e4,1
511,10000,debt_consolidation,662,17.09,38200,1
512,15000,debt_consolidation,712,20.14,37e3,0
513,7200,debt_consolidation,722,14.34,38e3,1
515,15700,debt_consolidation,672,9.12,6e4,0
516,5000,debt_consolidation,662,6.1,46e3,1
518,16000,debt_consolidation,697,6.47,107e3,1
520,21000,debt_consolidation,727,20.11,7e4,1
521,6000,debt_consolidation,707,11.75,24e3,1
522,20000,debt_consolidation,677,18.97,51750,1
523,7150,debt_consolidation,682,24.6,5e4,1
524,32000,small_business,797,6.07,12e4,1
525,15500,debt_consolidation,727,11.19,4e4,1
526,7000,debt_consolidation,717,7.97,97600,1
527,12000,debt_consolidation,767,7.76,70800,1
528,10400,debt_consolidation,677,11.31,45e3,1
529,12000,debt_consolidation,687,18.38,6e4,1
530,8000,vacation_wedding,722,3.25,88e3,1
532,4500,debt_consolidation,707,11.67,91500,1
533,5000,debt_consolidation,687,16.69,42500,1
535,30000,debt_consolidation,692,18.77,75e3,1
536,21000,debt_consolidation,707,12.41,103e3,1
538,27575,debt_consolidation,727,19.92,63e3,1
539,15000,debt_consolidation,737,17.73,35e3,1
540,2250,debt_consolidation,667,18.75,16e3,1
542,16500,debt_consolidation,677,10.22,11e4,1
543,35000,home_improvement,697,9.41,69e3,1
544,3250,debt_consolidation,687,19.13,16e3,1
545,24000,debt_consolidation,727,13.26,8e4,1
547,22750,debt_consolidation,732,10.45,65e3,1
548,30000,debt_consolidation,742,17.15,175e3,1
549,4800,debt_consolidation,707,14.95,35e3,1
550,18000,debt_consolidation,667,20.74,6e4,1
551,7200,debt_consolidation,722,15.02,35e3,1
552,10500,debt_consolidation,672,9.92,6e4,1
553,5000,small_business,727,7.75,66e3,0
554,12800,debt_consolidation,717,8.74,77e3,1
555,27000,debt_consolidation,732,8.13,13e4,1
556,15000,debt_consolidation,707,17.35,61e3,1
557,35000,debt_consolidation,682,7.93,9e4,1
558,5900,debt_consolidation,717,6.17,14400,1
561,13250,debt_consolidation,662,18.55,35e3,0
563,20000,debt_consolidation,722,14.95,125e3,1
566,25000,debt_consolidation,727,4.71,8e4,1
567,10000,other,757,12.29,7e4,1
568,2250,other,672,19.5,17352,1
569,23000,debt_consolidation,727,19.61,63208,1
570,6750,small_business,667,1,48e3,1
573,12000,debt_consolidation,662,23.15,68e3,1
574,4800,other,777,14.61,35e3,1
577,2200,debt_consolidation,727,14.95,26004,0
578,24000,debt_consolidation,702,13.9,12e4,0
579,10000,debt_consolidation,727,17.51,34e3,1
580,9600,debt_consolidation,677,5.2,4e4,1
581,7200,debt_consolidation,672,20.46,88800,0
582,30000,debt_consolidation,692,11.44,85e3,1
583,12000,debt_consolidation,672,14,36e3,1
584,18000,debt_consolidation,667,21.43,8e4,1
585,10000,debt_consolidation,712,9.1,5e4,1
586,26000,debt_consolidation,752,15.3,105e3,1
588,10400,debt_consolidation,677,8.82,72e3,0
589,10000,debt_consolidation,717,9.3,67500,1
590,17250,debt_consolidation,677,4.08,6e4,1
591,10000,debt_consolidation,752,7.16,65e3,1
592,6000,debt_consolidation,772,12.16,34848,1
593,19075,debt_consolidation,682,21.2,48e3,1
594,20000,debt_consolidation,732,23.89,55e3,1
595,24000,debt_consolidation,737,22.12,65e3,1
596,17200,home_improvement,707,23.76,55e3,0
597,15000,home_improvement,742,21.6,75e3,1
599,8400,debt_consolidation,677,15.84,3e4,1
601,16000,home_improvement,682,7.7,6e4,1
602,18000,debt_consolidation,702,4.62,59e3,1
603,15000,debt_consolidation,707,12.58,35e3,1
605,13225,debt_consolidation,702,23.48,65e3,1
606,16400,debt_consolidation,692,12.51,61500,0
607,10075,debt_consolidation,707,18.63,46e3,1
608,10000,debt_consolidation,682,20.94,62e3,1
609,15000,debt_consolidation,702,11.7,75e3,1
610,5000,debt_consolidation,702,3.92,9e4,1
611,9350,debt_consolidation,722,10,1e5,1
612,30000,small_business,687,23.21,11e4,0
613,18000,debt_consolidation,717,15.31,5e4,1
614,29000,debt_consolidation,747,3.9,18e4,1
615,12000,debt_consolidation,702,18.66,4e4,0
616,35000,debt_consolidation,747,16.18,114054,1
619,15625,debt_consolidation,722,24.64,45e3,1
620,24000,debt_consolidation,722,24.78,77e3,1
621,14000,debt_consolidation,662,6.83,76800,1
622,6000,debt_consolidation,692,9.09,8e4,1
623,7000,major_purchase,767,11.45,24e3,1
624,20000,debt_consolidation,687,9.67,13e4,1
625,8000,debt_consolidation,682,23.79,35e3,0
626,20000,debt_consolidation,702,16.55,67e3,1
627,10000,debt_consolidation,712,20.79,31e3,1
628,16000,debt_consolidation,732,26.11,5e4,1
629,18000,debt_consolidation,677,15.67,66e3,1
630,15000,debt_consolidation,697,14.18,6e4,1
631,10000,debt_consolidation,677,12.75,4e4,0
635,24000,debt_consolidation,687,15.34,103e3,1
636,14000,debt_consolidation,697,12.62,75e3,1
637,5375,debt_consolidation,692,17.69,42e3,1
638,12375,debt_consolidation,727,24.3,32e3,1
639,35000,debt_consolidation,687,12.54,85e3,1
641,14000,debt_consolidation,682,8.4,35e3,1
643,9000,debt_consolidation,682,12.88,52e3,1
644,16000,debt_consolidation,692,12.48,67e3,1
645,35000,debt_consolidation,737,8.96,66e3,1
646,18500,debt_consolidation,722,13.63,36e3,1
647,5350,home_improvement,667,9.46,52e3,0
648,25000,debt_consolidation,747,18.02,65e3,1
651,3000,other,667,6.78,56604,1
653,20000,debt_consolidation,702,16.77,9e4,1
654,35000,home_improvement,712,12.07,99224.88,1
658,20000,debt_consolidation,707,20.61,4e4,1
659,19000,debt_consolidation,707,18.09,38e3,0
660,18825,debt_consolidation,692,14.77,85e3,1
661,20400,debt_consolidation,692,17.86,52e3,1
662,21650,debt_consolidation,692,21.28,62361,1
663,24000,debt_consolidation,667,9.98,122400,0
664,24500,debt_consolidation,722,13.85,52e3,1
665,9000,debt_consolidation,722,23.39,45e3,1
666,20000,debt_consolidation,697,13.37,5e4,1
667,7100,debt_consolidation,677,23.13,36e3,1
668,7000,debt_consolidation,722,5.22,85e3,1
670,30000,debt_consolidation,737,21.25,62e3,1
672,24000,debt_consolidation,737,21.65,76e3,1
673,6200,debt_consolidation,672,10.61,51e3,1
675,12000,debt_consolidation,672,12.66,42e3,1
676,2300,other,747,10.23,78e3,0
677,8875,debt_consolidation,722,18.21,19240,1
678,18800,debt_consolidation,687,11.73,75e3,0
679,7600,debt_consolidation,717,16.26,75e3,1
680,16000,debt_consolidation,732,19.68,4e4,1
681,12000,debt_consolidation,687,11.8,24e3,1
682,22500,major_purchase,682,7.65,45e3,1
683,20000,debt_consolidation,697,12.74,105e3,1
684,6000,debt_consolidation,667,9.82,6e4,1
685,8000,debt_consolidation,717,6.53,46330,1
687,18000,debt_consolidation,722,18.63,36e3,1
688,19000,debt_consolidation,787,5.28,95e3,1
690,8400,vacation_wedding,677,3.81,75e3,1
691,7500,debt_consolidation,677,13.82,27e3,1
692,30000,debt_consolidation,687,17.6,72e3,1
693,22000,debt_consolidation,697,7.91,54329,1
694,12000,debt_consolidation,692,6.61,2e5,1
