"SubjectID","Female","Age","Neuroticism","Extraversion","Happiness","ERA","QSR"
"ID314",1,63,3.125,4.75,5.5,0.3622125,18.75
"ID315",1,27,3.333333333,3.75,4.5,0.349304167,23
"ID316",0,76,2.875,1.75,6.5,0.400304167,12.75
"ID317",0,22,2.5,2.25,3.75,0.4572,14.5
"ID318",1,25,4.125,2.375,4,0.328391667,15
"ID319",1,53,3.125,2.625,4.75,0.400470833,18
"ID320",0,49,2.125,4.5,7,0.45945,3
"ID321",0,46,2.5,3.25,5.5,0.301941667,21
"ID322",0,60,2.75,3.125,4.5,0.2600625,18.25
"ID323",1,21,3,2.5,3.5,0.349545833,21.75
"ID324",1,23,3.083333333,3.5,4,0.450125,21.25
"ID325",1,50,2.75,3.5,5.5,0.374683333,13.5
"ID326",1,22,3.375,3.875,6.25,0.4230125,23.25
"ID327",1,45,3.375,3.625,4.75,0.362445833,14.75
"ID328",0,22,2.875,4.25,6,0.431879167,24.5
"ID329",0,43,3.625,3.125,4,0.252041667,16.75
"ID330",1,38,2.25,4.5,6.5,0.412858333,19.75
"ID331",1,59,3.25,2.75,4,0.430441667,11.5
"ID332",0,59,2.375,4.125,5.5,0.315266667,20
"ID333",0,56,2.125,3.5,5.75,0.469091667,19.75
"ID334",1,49,2.125,2.625,5.75,0.408283333,21.5
"ID335",1,28,3.125,3.125,5,0.271129167,17.75
"ID336",1,21,3.375,2.625,6,0.346725,24
"ID337",1,49,2.625,4.25,4,0.360375,20.75
"ID338",1,51,2.375,3.875,5,0.391608333,21.25
"ID339",1,54,4.375,2.25,3.75,0.376295833,16.75
"ID340",0,49,2.25,3.125,5.5,0.373083333,22.5
"ID342",0,51,2.75,3.25,5.25,0.350720833,17.5
"ID343",0,49,2.375,3.5,4.75,0.421395833,25.25
"ID344",1,21,3.666666667,3.333333333,3.75,0.4215125,20.5
"ID346",1,48,2.375,3.625,5.25,0.4844,17.75
"ID347",0,70,1.875,2.5,4.75,0.239875,22
"ID348",0,21,1.625,4,5,0.409908333,20.5
"ID349",0,22,3,3.875,6,0.385304167,26
"ID350",1,21,3,2.875,5.25,0.425158333,21.75
"ID351",0,54,2.375,3.375,7,0.3829125,24.25
"ID352",1,52,2.5,4.5,5.75,0.383258333,18.25
"ID353",1,57,3.125,4,5.75,0.343883333,24.5
