Gender,Political,Pol_Numeric,Accomplish,Emotional.Women,Funny,Your.Letters,Average.Letters,Happy,Mother.Born,Father.Born,Sleep.Tues,Sleep.Sat,Powers,Exclusive,Height,Shoe Size,feet,inches,height.inches
Male,Independent,3,to win an Academy Award,Disagree,Pretty funny,5,6,80,29,38,6,5.5,4,5,"5,10",12.5,5,10,70
Female,Independent,3,to win an Academy Award,Agree,Pretty funny,3,6,90,27,34,8,9.5,5,10,"5,4",7,5,4,64
Male,Independent,3,To become president of the United States,Agree,Not at all,6,6,80,26,30,8.3,8,4,9,"6,9",11 1/2,6,9,69
Female,I don't know,4,To win a Nobel prize,Agree,A little,5,5,70,28,26,6.5,5,10,1,"5,7.72",7,5,7.72,67.72
Female,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,5,7,70.58,29,30,7.5,9,16,5,"5,2",7,5,2,62
Female,Independent,3,to win a Nobel prize,Agree,Pretty funny,6,7,70,34,36,7,7,5,4,"5,9",9.5,5,9,69
Female,Democrat,2,to win a Nobel prize,Agree,Pretty funny,7,7,90,22,,11,11,20,1,"5,67",8,5,7,67
Male,Democrat,2,To win a Nobel prize,Disagree,A little,5,6,60,32,32,6,6,13,9,"6,1",13,6,1,73
Male,Democrat,2,To win a Nobel prize,Disagree,Not at all,5,5,75,33,37,7,8.5,9,10,"5,10",13,5,10,70
Female,Republican,1,to win an Olympic gold medal,Agree,Pretty funny,5,6,85,30,30,8,8,20,3,"5,7",8,5,7,67
Male,Independent,3,to win an Olympic gold medal,Strongly Disagree,Pretty funny,5,5,80,29,32,8,9.5,5,10,"6,3",15,6,3,75
Female,Democrat,2,To win a Nobel prize,Agree,Pretty funny,8,6,89.99,28,31,5.5,5,8,10,"5,2",7.5,5,2,62
Male,Independent,3,To win a Nobel prize,Agree,A little,7,6,33.33,27,31,8,8,3,5,,11,,,
Male,Independent,3,To win a Nobel prize,Disagree,A little,5,6,45,30,34,3,1.5,12,3,"5,5",10.5,5,5,65
Female,Independent,3,to win a Nobel prize,Strongly Disagree,A little,4,5,30,26,37,7,7,5,1,"5,10",9,5,10,70
Male,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,5,7,88.95,31,,7.5,8.5,15,10,"6,1",12,6,1,73
Male,Democrat,2,To win an Academy Award,Strongly Agree,I'm hilarious,6,6,90,29,30,5,5,5,1,"5,9",13,5,9,69
Male,Republican,4,To become president of the United States,Agree,Pretty funny,5,5,60,31,35,7,8,8,2,"6,1",12.5,6,1,73
Female,Republican,1,to win a Nobel prize,Strongly Agree,A little,5,6,80,,,8,8,7,5,"5,6",7.5,5,6,66
Male,Independent,3,to win a Nobel prize,Agree,A little,6,6,25,29,32,8,10,6,9,"5,11",12.5,5,11,71
Male,Republican,1,To win an Olympic gold medal,Strongly Agree,A little,4,5,90,37,41,6.5,7,12,2,"6,4",13.5,6,4,76
Male,Independent,3,to win a Nobel prize,Agree,Pretty funny,5,6,75,31,35,6,7,15,6,"6,1",11,6,1,73
Male,Independent,3,To become president of the United States,Disagree,A little,4,7,70,27,32,6.5,6.5,7,7,,11,,,
Male,I don't know,4,To win a Nobel prize,Agree,A little,3,4,11.11,28,29,6,6,19,2,"1,6",12,1,6,6
Male,I don't know,4,To win a Nobel prize,Agree,Pretty funny,7,8,75,29,27,8,10,15,7,,44,,,
Male,Independent,3,To win an Olympic gold medal,Agree,A little,3,3,90,25,28,7.5,4,25,9,"6,2",14,6,2,74
Male,Democrat,2,to win a Nobel prize,Strongly Agree,A little,5,4,80,28,29,9,9,10,8,"6,0",13,6,0,72
Female,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,8,7,80,28,27,5.5,5,5,10,"5,1",7,5,1,61
Female,Independent,3,To win a Nobel prize,Disagree,A little,5,7,50,26,26,5.5,5,12,4,"5,3",7.5,5,3,63
Female,Democrat,2,To win a Nobel prize,Disagree,A little,5,5.5,40,26,31,4,5,8,1,"5,4",8,5,4,64
Male,Independent,3,to win a Nobel prize,Agree,Pretty funny,5,7,50,30,,7,7.5,25,1,"5,10",13,5,10,70
Female,Democrat,2,to win a Nobel prize,Agree,A little,5,5,50,24,30,7,7,5,10,"5,5",8,5,5,65
Female,Democrat,2,To win a Nobel prize,Agree,I'm hilarious,7,6.3,75,26,27,8,5,14,7,"5,0",7,5,0,60
Male,Democrat,2,to win an Academy Award,Agree,A little,4,5,75,33,33,7.5,8.5,6,5,"5,10",13,5,10,70
Female,Republican,1,to win an Academy Award,Agree,A little,5,5,98,32,31,6,7,2,0,"5,2",7,5,2,62
Male,Independent,3,To win a Nobel prize,Agree,Pretty funny,5,6,96,31,30,6.5,6.5,7,5,"6,0",13,6,0,72
Female,Democrat,2,to win a Nobel prize,Agree,A little,6,5,80,,,6,5.5,5,10,"5,2",6,5,2,62
Male,Independent,3,To become president of the United States,Disagree,Pretty funny,5,6,60,31,34,6.5,8,10,4,"6,1",15,6,1,73
Female,Democrat,2,to win an Academy Award,Agree,A little,5,7,80,34,33,7,7,10,5,"5,4",6.5,5,4,64
Male,Democrat,2,To win a Nobel prize,Agree,Pretty funny,8,6,84.70,22,28,4,5.5,10,5,"5,3",9,5,3,63
Male,Democrat,2,To win a Nobel prize,Disagree,A little,3,6,30,,,6,5,15,10,"6,0",11,6,0,72
Male,Democrat,2,to win a Nobel prize,Strongly Disagree,I'm hilarious,3,6,75,21,20,7,7,7,10,"6,1",14,6,1,73
Male,Democrat,2,To win a Nobel prize,Agree,A little,4,5,80,26,31,7.5,9,12,10,"6,2",13,6,2,74
Male,I don't know,4,To win an Olympic gold medal,Agree,Pretty funny,5,5,75,28,37,4,5,25,5,"5,1",15,5,1,61
Female,Democrat,2,To win a Nobel prize,Agree,Pretty funny,5,7,80,30,29,7.5,9,8,4,"5,2.5",8,5,2.5,62.5
Male,Republican,1,to win an Olympic gold medal,Agree,A little,6,5,85,,,6.5,8,10,5,"6,2",14,6,2,74
Female,Independent,3,To win a Nobel prize,Agree,Pretty funny,4,6,80,28,29,5,4,6,10,"5,3",8,5,3,63
Female,I don't know,4,to win a Nobel prize,Strongly Agree,A little,4,6,50,30,31,3.5,1.5,15,7,"5,3",7,5,3,63
Female,Democrat,2,to win a Nobel prize,Disagree,A little,8,6,90,31,32,6,5.5,4,10,"5,5",8,5,5,65
Female,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,4,6,77.28,30,28,8.5,8,7,2,"5,5",7.5,5,5,65
Male,Democrat,2,To win a Nobel prize,Disagree,I'm hilarious,5,5,55.55,22,25,5,4.5,8,2,"6,7",14,6,7,67
Male,Republican,4,To win a Nobel prize,Disagree,Pretty funny,3,6,50,25,31,8,8,10,6,"6,0",13.5,6,0,72
Female,I don't know,4,to win a Nobel prize,Disagree,I'm hilarious,7,6,85,32,34,7,7.5,15,8,"5,8",8,5,8,68
Male,Republican,1,To win an Olympic gold medal,Agree,I'm hilarious,5,6,85,35,38,7,8.5,12,7,"5,9",13,5,9,69
Male,Independent,3,To win a Nobel prize,Disagree,I'm hilarious,4,5,99.99,23,26,7,8,10,0,"1,10",12.5,1,10,10
Female,Independent,3,to win a Nobel prize,Strongly Disagree,A little,4,5,60,,,6,5.5,6,1,"5,6",7,5,6,66
Male,Republican,1,To win a Nobel prize,Agree,A little,4,5.5,35,32,33,6.5,7,8,3,"6,0",13,6,0,72
Female,I don't know,4,to win an Olympic gold medal,Agree,A little,6,5,90,,,9,9,6,4,"5,3",8,5,3,63
Male,Democrat,2,To become president of the United States,Agree,A little,6,7,75,39,43,6,7,2,8,"6,0.5",13,6,0.5,72.5
Female,Republican,1,to win a Nobel prize,Agree,Pretty funny,6,7,75,38,41,9,9,3,5,"5,2",7.5,5,2,62
Male,Republican,1,To win an Olympic gold medal,Agree,A little,3,4,100,34,35,5,4,10,10,"6,0",10,6,0,72
Female,Republican,1,to win an Olympic gold medal,Agree,A little,4,,82,32,32,8,9,8,7,"5,4",7.5,5,4,64
Female,I don't know,4,to win a Nobel prize,Disagree,A little,6,7,80,,,7.5,8.5,12,10,"5,8",8.5,5,8,68
Female,Independent,3,To win a Nobel prize,Disagree,A little,5,6,95,23,32,8,10,20,10,"6,10",9,6,10,70
Female,Independent,3,to become President of the United States,Agree,A little,7,6,90,32,38,7,7.5,15,5,"5,4",9,5,4,64
Male,Democrat,2,To win a Nobel prize,Agree,A little,5,7,50,28,29,6,8,4,5,"5,6",9.5,5,6,66
Female,Independent,3,to win an Olympic gold medal,Disagree,Pretty funny,6,6,50,32,32,7,7.5,10,3,"5,6",7,5,6,66
Female,Independent,3,to win a Nobel prize,Agree,A little,6,6,80,22,24,7.5,8.5,6,8,"5,5",8,5,5,65
Male,I don't know,4,To become president of the United States,Disagree,A little,5,6,20,38,37,6.5,6,24,10,,12,,,
Male,Democrat,2,To win an Academy Award,Disagree,I'm hilarious,4,6,55,26,30,7,8,10,2,"6,5",15,6,5,77
Female,I don't know,2,To win a Nobel prize,Disagree,Pretty funny,5,8,45.98,25,30,6.5,6.5,4,2,"6,6",8,6,6,66
Female,I don't know,4,To win a Nobel prize,Strongly Disagree,Not at all,8,6,50,28,31,7.5,5.5,10,1,"5,4.17",38,5,4.17,64.17
Male,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,7,8,65,,,4.5,5,18,1,,11.5,,,
Male,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,4,8,30,,,8,10.5,15,1,"6,0",10,6,0,72
Female,Democrat,2,To become president of the United States,Strongly Disagree,A little,4,5,90,31,31,7,8,5,10,"5,5",8,5,5,65
Male,Independent,3,To become president of the United States,Strongly Disagree,Pretty funny,5,6,32.65,30,34,3,1.5,20,7,"5,10",14,5,10,70
Male,Democrat,2,To win a Nobel prize,Agree,I'm hilarious,5,15,80,22,27,6,7,2,6,"6,7",11,6,7,67
Female,I don't know,2,To become president of the United States,Disagree,Pretty funny,6,6,60,24,26,8,11.5,4,8,"6,6",8.5,6,6,66
Male,I don't know,4,to win a Nobel prize,Disagree,Not at all,4,5,70,,,7,7.5,6,7,"5,8",14,5,8,68
Male,Republican,1,To win a Nobel prize,Agree,A little,7,6,85,27,27,6,6,20,9,,13,,,
Female,I don't know,2,To win an Olympic gold medal,Agree,A little,5,5,70.99,23,,7,8,12,9,"5,11",7.5,5,11,59
Female,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,5,6,10,,,5,6,10,0,"5,8",12,5,8,68
Female,I don't know,4,To win a Nobel prize,Agree,Pretty funny,7,6,92.32,29,37,7.5,7.5,9,1,"5,4",7.5,5,4,64
Male,Democrat,2,To win a Nobel prize,Agree,A little,5,7,70,,,5,3.5,10,2,"6,3",13,6,3,75
Female,I don't know,4,to win a Nobel prize,Disagree,Pretty funny,7,7,78,25,,6,6,3,9,"5,3",9,5,3,63
Male,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,3,5,95,32,34,6,5,4,7,"5,6",12,5,6,66
Male,Democrat,2,To win a Nobel prize,Strongly Disagree,Pretty funny,4,735,35.21,,,7.5,9,12,10,"5,7",11.5,5,7,67
Female,Independent,3,to win a Nobel prize,Agree,Pretty funny,6,5,73.5,33,35,5,3,5,1,"5,4",9,5,4,64
Female,I don't know,4,to win a Nobel prize,Strongly Agree,Pretty funny,5,6,85,29,29,6,6,8,5,"5,2",6,5,2,62
Male,Independent,3,To win a Nobel prize,Disagree,Not at all,5,6,90,,,7.5,8.5,21,1,"6,7",9.5,6,7,67
Male,I don't know,2,To win a Nobel prize,Disagree,Pretty funny,9,6,20,21,24,8,8,20,2,"5,5",11,5,5,65
Female,Democrat,2,To win a Nobel prize,Agree,Pretty funny,4,6,85,31,32,8,8,6,2,"6,10",10,6,10,70
Male,Democrat,2,to win an Olympic gold medal,Strongly Agree,A little,7,6,80,30,28,7,9,15,7,"5,10",14,5,10,70
Female,Democrat,2,to win an Academy Award,Strongly Agree,I'm hilarious,6,6,80,28,35,8,9,6,10,"5,5",8,5,5,65
Male,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,5,5,90,38,43,8,11,8,5,"6,8",10.5,6,8,68
Female,Democrat,2,to win a Nobel prize,Strongly Agree,Pretty funny,4,6,40,18,18,8,9.5,10,4,"5,8",10,5,8,68
Male,Democrat,2,To win a Nobel prize,Agree,Pretty funny,3,6,20,,,12,13.5,7,5,"5,7",12,5,7,67
Male,Independent,3,To win a Nobel prize,Disagree,Pretty funny,5,6,81.33,27,32,7.5,8.5,0.4,10,"6,4",13.5,6,4,76
Female,Independent,3,to become President of the United States,Agree,Pretty funny,3,5,90,31,27,9.5,14,10,1,"5,.75",6.5,5,1,61
Male,Independent,3,To win an Olympic gold medal,Disagree,A little,4,5,85,29,41,7,8.5,10,7,"5,5",12,5,5,65
Male,I don't know,4,To win a Nobel prize,Agree,A little,3,7,50,22,23,6.5,6.5,15,10,"5,8",11,5,8,68
Female,Democrat,2,To win a Nobel prize,Disagree,Pretty funny,6,7,90,28,29,7.5,10,8,6,"5,5",7,5,5,65
Male,Independent,3,To win a Nobel prize,Strongly Agree,A little,6,8,50,31,37,5,8,11,4,"5,11",12,5,11,71
Female,Independent,3,to win a Nobel prize,Disagree,Pretty funny,3,7,80,27,29,6,6,7,5,"5,1",6,5,1,61
Female,Independent,3,to win a Nobel prize,Disagree,I'm hilarious,6,7,92,23,25,7,6,11,8,"5,2",6.5,5,2,62
