UID,yrint,yrborn,female,race,marital,educ,realrinc,health
ID_5021,1975,1923,0,1,1,11,20011,2
ID_5086,1975,1952,0,1,1,14,16676,4
ID_5092,1975,1918,0,1,1,12,38910,3
ID_5107,1975,1924,1,1,1,12,16676,3
ID_5122,1975,1948,0,1,1,6,27793,3
ID_5134,1975,1927,0,1,1,12,50027,3
ID_5138,1975,1918,0,1,1,12,27793,3
ID_5144,1975,1934,0,1,1,12,75863,4
ID_5162,1975,1956,1,1,5,11,1112,3
ID_5184,1975,1942,0,1,1,10,27793,3
ID_5185,1975,1948,1,1,1,13,16676,4
ID_5195,1975,1946,0,1,1,16,27793,4
ID_5209,1975,1957,1,1,5,12,7782,4
ID_5210,1975,1917,1,2,2,7,4447,1
ID_5243,1975,1934,0,1,1,11,38910,4
ID_5307,1975,1950,0,1,1,12,12229,4
ID_5321,1975,1923,0,1,1,7,20011,2
ID_5325,1975,1919,0,1,3,10,10005,3
ID_5330,1975,1954,1,1,1,12,4447,3
ID_5331,1975,1909,0,1,1,14,27793,3
ID_5341,1975,1929,1,1,3,12,27793,3
ID_5353,1975,1947,0,1,1,16,50027,3
ID_5382,1975,1938,0,1,1,10,27793,4
ID_5398,1975,1932,0,1,1,12,27793,3
ID_5421,1975,1942,1,1,1,12,10005,2
ID_5423,1975,1931,0,1,1,12,16676,3
ID_5429,1975,1927,0,1,1,12,27793,4
ID_5433,1975,1913,1,1,4,8,7782,3
ID_5449,1975,1951,1,1,5,16,20011,4
ID_5470,1975,1950,1,1,5,16,20011,3
ID_5493,1975,1921,1,1,1,17,4447,2
ID_5498,1975,1929,0,1,1,8,27793,4
ID_5500,1975,1942,1,1,5,18,27793,2
ID_5514,1975,1935,0,1,3,12,27793,4
ID_5521,1975,1956,1,1,5,11,4447,4
ID_5542,1975,1906,0,1,1,10,27793,2
ID_5547,1975,1908,0,1,1,7,4447,3
ID_5551,1975,1954,0,1,5,15,1112,3
ID_5587,1975,1929,1,2,1,16,20011,3
ID_5615,1975,1933,0,1,1,9,38910,4
ID_5630,1975,1917,1,1,1,14,16676,4
ID_5643,1975,1941,1,1,1,7,4447,2
ID_5663,1975,1938,0,1,1,12,27793,4
ID_5676,1975,1934,1,1,1,16,1112,4
ID_5680,1975,1923,0,1,1,12,27793,3
ID_5695,1975,1919,0,1,1,12,27793,2
ID_5709,1975,1919,0,2,1,12,20011,2
ID_5713,1975,1929,0,1,1,15,38910,4
ID_5721,1975,1942,1,1,1,12,7782,3
ID_5728,1975,1909,1,1,1,14,20011,4
ID_5742,1975,1920,0,2,1,9,14452,2
ID_5756,1975,1952,1,2,5,15,12229,4
ID_5763,1975,1899,0,2,1,10,10005,2
ID_5777,1975,1916,0,1,1,2,14452,2
ID_5794,1975,1919,1,1,1,12,1112,2
ID_5799,1975,1935,1,1,1,12,10005,3
ID_5813,1975,1920,0,1,2,12,27793,3
ID_5820,1975,1929,0,1,1,14,27793,2
ID_5821,1975,1915,1,1,1,11,10005,3
ID_5845,1975,1934,1,2,1,12,12229,2
ID_5871,1975,1952,1,1,1,13,4447,4
ID_5873,1975,1946,0,1,1,12,27793,4
ID_5901,1975,1921,1,2,2,9,1112,3
ID_5903,1975,1923,1,1,1,11,10005,3
ID_6016,1975,1939,0,1,1,5,16676,2
ID_6025,1975,1949,1,1,1,12,1112,4
ID_6069,1975,1951,1,2,5,13,14452,4
ID_6099,1976,1914,0,1,1,10,18335,2
ID_6101,1976,1947,0,1,3,12,18335,3
ID_6121,1976,1924,0,1,1,13,13242,2
ID_6130,1976,1950,0,1,1,16,81652,3
ID_6171,1976,1923,1,1,1,12,4074,4
ID_6176,1976,1947,1,1,1,12,11205,3
ID_6222,1976,1927,0,1,1,12,18335,3
ID_6274,1976,1937,0,1,1,12,25465,4
ID_6279,1976,1937,1,1,1,10,7130,3
ID_6281,1976,1947,0,1,1,13,25465,4
ID_6296,1976,1942,0,2,1,12,18335,4
ID_6315,1976,1908,0,1,1,8,15279,1
ID_6350,1976,1917,0,1,1,18,81652,4
ID_6355,1976,1939,1,2,1,6,7130,3
ID_6367,1976,1942,1,1,1,18,15279,3
ID_6406,1976,1953,0,1,5,12,18335,4
ID_6415,1976,1944,1,2,1,15,25465,3
ID_6455,1976,1917,1,1,1,12,9167,2
ID_6474,1976,1910,0,1,2,7,18335,2
ID_6476,1976,1951,0,1,1,14,18335,3
ID_6495,1976,1951,0,2,5,16,4074,4
ID_6498,1976,1918,1,1,2,12,7130,4
ID_6499,1976,1957,0,1,5,9,11205,3
ID_6506,1976,1922,0,1,3,10,25465,2
ID_6532,1976,1950,1,1,1,13,15279,3
ID_6533,1976,1947,1,1,3,14,1019,4
ID_6538,1976,1934,0,1,5,8,35651,4
ID_6552,1976,,1,1,2,8,7130,2
ID_6557,1976,1940,0,1,1,13,15279,4
ID_6593,1976,1935,1,1,4,16,18335,3
ID_6619,1976,1938,0,1,1,16,81652,3
ID_6629,1976,1944,0,1,1,13,45837,3
ID_6630,1976,1949,1,1,5,18,4074,3
ID_6633,1976,1928,0,3,3,11,25465,4
ID_6638,1976,1950,0,1,1,18,18335,3
ID_6640,1976,1953,0,1,1,12,11205,4
ID_6652,1976,1922,0,2,1,14,25465,2
ID_6666,1976,1953,0,1,1,16,25465,4
ID_6676,1976,1939,1,1,1,12,11205,3
ID_6678,1976,1957,1,1,5,11,4074,2
ID_6724,1976,1938,0,1,1,18,81652,3
ID_6730,1976,1946,1,1,1,12,9167,3
ID_6734,1976,1935,1,1,1,12,9167,3
ID_6738,1976,1954,0,1,5,14,1019,3
ID_6745,1976,1917,0,1,3,12,13242,3
ID_6765,1976,1949,1,1,1,15,4074,3
ID_6802,1976,1953,0,1,5,8,1019,3
ID_6822,1976,1934,1,1,2,13,1019,4
ID_6863,1976,1948,1,1,1,12,13242,4
ID_6873,1976,1947,1,1,1,12,1019,3
ID_6904,1976,1939,1,1,1,17,9167,4
ID_6912,1976,1927,0,1,1,9,25465,3
ID_6922,1976,1931,0,1,1,18,81652,4
ID_6938,1976,1926,0,2,1,12,13242,2
ID_6946,1976,1905,0,2,5,3,13242,2
ID_6997,1976,1910,0,1,1,12,4074,4
ID_7009,1976,1951,1,1,5,12,1019,2
ID_7021,1976,1941,0,1,1,16,81652,4
ID_7074,1976,1951,1,2,1,12,7130,2
ID_7086,1976,1941,0,1,1,12,35651,4
ID_7097,1976,1936,0,1,1,10,25465,3
ID_7107,1976,1930,0,1,1,14,81652,3
ID_7116,1976,1955,0,1,5,14,1019,3
ID_7132,1976,1919,0,1,1,12,25465,3
ID_7182,1976,1939,0,1,1,12,13242,4
ID_7202,1976,1933,0,1,1,16,35651,3
ID_7226,1976,1950,0,1,1,12,45837,4
ID_7256,1976,,0,1,5,16,4074,3
ID_7265,1976,1924,1,1,1,12,9167,3
ID_7272,1976,1929,0,1,1,8,25465,3
ID_7280,1976,1899,1,1,1,7,4074,2
ID_7288,1976,1941,1,1,1,12,4074,4
ID_7310,1976,1929,1,1,5,8,4074,4
ID_7321,1976,1944,0,1,1,16,18335,4
ID_7327,1976,1911,0,1,1,9,4074,2
ID_7328,1976,1923,0,2,2,12,18335,4
ID_7349,1976,1949,1,1,1,12,1019,4
ID_7366,1976,1948,0,1,5,14,81652,4
ID_7370,1976,1950,1,1,5,14,15279,3
ID_7371,1976,1926,0,1,1,20,35651,4
ID_7377,1976,1919,0,1,1,20,35651,2
ID_7410,1976,1950,1,1,5,17,25465,4
ID_7433,1976,1919,0,1,5,14,35651,3
ID_7447,1976,1940,0,1,1,13,35651,4
ID_7460,1976,1951,1,1,5,16,13242,4
ID_7526,1976,1945,0,1,1,11,25465,3
ID_7600,1977,1933,1,1,1,15,17335,3
ID_7602,1977,1941,0,1,1,13,36114,4
ID_7624,1977,1936,1,1,5,12,21669,3
ID_7670,1977,1930,1,1,1,12,26484,4
ID_7677,1977,1928,0,2,1,5,21669,3
ID_7687,1977,1950,0,1,4,14,21669,4
ID_7697,1977,1913,1,1,2,8,8667,4
ID_7709,1977,1937,0,1,1,17,72229,3
ID_7711,1977,1945,1,1,1,17,10594,4
ID_7742,1977,1935,0,1,1,12,21669,3
ID_7752,1977,1942,1,1,1,10,21669,3
ID_7793,1977,1947,1,1,3,12,17335,4
ID_7797,1977,1956,0,1,5,12,8667,4
ID_7814,1977,1949,0,1,3,20,44782,4
ID_7840,1977,1936,0,1,1,9,36114,4
ID_7860,1977,1927,0,1,1,11,26484,2
ID_7871,1977,1897,1,1,3,18,963,3
ID_7872,1977,1937,0,1,5,18,26484,4
ID_7876,1977,1955,1,2,1,13,6741,3
ID_7895,1977,1956,1,1,1,12,8667,4
ID_7910,1977,1944,0,1,1,16,26484,3
ID_7928,1977,1923,1,1,4,6,12520,3
ID_7934,1977,1945,1,1,2,12,21669,4
ID_7973,1977,1908,1,2,1,3,963,4
ID_7988,1977,1929,0,1,1,12,26484,2
ID_8009,1977,1949,0,1,1,11,12520,3
ID_8022,1977,1944,0,1,3,12,36114,3
ID_8030,1977,1955,1,1,4,14,17335,3
ID_8061,1977,1940,1,1,1,12,12520,4
ID_8066,1977,1927,1,1,1,10,3852,4
ID_8079,1977,1954,0,1,1,13,17335,4
ID_8105,1977,1946,1,1,1,12,3852,3
ID_8151,1977,1957,1,1,5,14,3852,4
ID_8192,1977,1946,0,1,2,18,14446,3
ID_8201,1977,1922,1,2,1,7,963,1
ID_8205,1977,1941,0,1,4,18,21669,4
ID_8215,1977,1953,1,2,1,13,3852,4
ID_8224,1977,1924,0,2,4,5,6741,3
ID_8237,1977,1957,0,2,1,13,10594,3
ID_8240,1977,1958,1,1,5,12,963,3
ID_8244,1977,1935,0,1,1,15,72229,4
ID_8245,1977,1949,1,1,1,12,3852,4
ID_8250,1977,1949,1,1,5,15,8667,3
ID_8258,1977,1916,1,1,1,11,17335,4
ID_8341,1977,1922,1,1,3,12,8667,3
ID_8345,1977,1921,0,1,1,12,31299,3
ID_8484,1977,1944,0,1,1,18,44782,4
ID_8488,1977,1949,1,1,1,15,963,4
ID_8540,1977,1948,1,1,1,8,17335,4
ID_8556,1977,1919,0,1,1,13,26484,2
ID_8562,1977,1948,1,1,3,12,6741,3
ID_8566,1977,1933,0,1,4,16,44782,4
ID_8571,1977,1935,1,1,1,18,26484,3
ID_8627,1977,1932,0,1,3,12,36114,3
ID_8641,1977,1928,1,2,1,16,17335,4
ID_8651,1977,1951,1,1,1,15,12520,4
ID_8652,1977,1939,1,1,3,6,6741,4
ID_8682,1977,1927,0,2,1,12,17335,2
ID_8689,1977,1944,1,2,4,11,12520,3
ID_8715,1977,1947,0,1,1,14,3852,3
ID_8728,1977,1943,0,1,1,14,17335,3
ID_8730,1977,1952,0,1,1,16,17335,4
ID_8752,1977,1944,0,1,1,12,12520,2
ID_8764,1977,1922,1,1,5,16,21669,4
ID_8821,1977,1928,0,1,1,10,36114,3
ID_8825,1977,1958,1,1,5,12,963,3
ID_8828,1977,1922,1,1,2,13,21669,3
ID_8830,1977,1922,1,1,3,8,12520,2
ID_8857,1977,1935,1,2,1,11,8667,2
ID_8859,1977,1957,0,1,1,8,14446,2
ID_8860,1977,1955,1,1,5,12,963,3
ID_8867,1977,1933,1,1,2,11,14446,4
ID_8926,1977,1943,1,1,1,10,6741,2
ID_8931,1977,1942,0,1,1,11,14446,3
ID_8948,1977,1941,0,1,1,12,21669,3
ID_8971,1977,1930,0,1,3,8,26484,2
ID_9002,1977,1921,0,1,3,14,72229,3
ID_9052,1977,1951,0,1,1,12,31299,3
ID_9110,1977,1949,1,2,1,10,6741,4
ID_9135,1978,1925,0,1,1,7,20355,
ID_9136,1978,1954,0,1,1,12,24879,
ID_9177,1978,1948,0,2,5,14,29402,
ID_9200,1978,1933,0,1,1,16,67851,
ID_9205,1978,1926,0,1,1,16,42068,
ID_9221,1978,1907,1,1,2,8,3619,
ID_9226,1978,1938,0,1,1,19,67851,
ID_9250,1978,1927,0,1,1,11,42068,
ID_9255,1978,1958,0,1,5,12,9952,
ID_9265,1978,1928,0,1,1,7,33926,
ID_9319,1978,1958,0,1,5,11,3619,
ID_9346,1978,1938,0,1,1,9,67851,
ID_9352,1978,1932,1,2,1,14,13570,
ID_9356,1978,1956,1,1,3,12,6333,
ID_9373,1978,1923,0,1,1,14,29402,
ID_9392,1978,1932,1,1,3,12,33926,
ID_9410,1978,1957,0,1,1,12,11761,
ID_9411,1978,1938,0,1,1,14,38449,
ID_9413,1978,1942,0,1,1,13,33926,
ID_9428,1978,1955,0,2,5,13,905,
ID_9460,1978,1944,1,1,1,12,6333,
ID_9479,1978,1911,1,1,2,12,905,
ID_9485,1978,1947,1,1,1,12,20355,
ID_9491,1978,1926,0,1,1,9,29402,
ID_9503,1978,1942,0,1,1,12,33926,
ID_9512,1978,1936,1,2,3,12,9952,
ID_9554,1978,1950,1,1,1,6,3619,
ID_9559,1978,1958,0,1,5,12,20355,
ID_9574,1978,1947,1,1,1,14,20355,
ID_9586,1978,1918,1,1,1,16,3619,
ID_9592,1978,1945,0,1,4,12,6333,
ID_9599,1978,1939,1,2,,12,16284,
ID_9624,1978,1949,0,1,1,12,20355,
ID_9628,1978,1955,0,1,1,13,20355,
ID_9631,1978,1939,0,1,1,14,24879,
ID_9639,1978,1952,1,1,1,12,16284,
ID_9648,1978,1956,0,1,5,12,24879,
ID_9650,1978,1918,0,1,5,20,11761,
ID_9666,1978,1939,1,1,1,13,20355,
ID_9676,1978,1957,1,1,1,12,16284,
ID_9765,1978,1936,0,1,3,18,29402,
ID_9768,1978,1954,0,1,5,17,3619,
ID_9794,1978,1938,1,1,1,12,905,
ID_9842,1978,1927,1,1,1,12,8142,
ID_9875,1978,1952,0,1,1,12,33926,
ID_9889,1978,1942,0,1,1,18,67851,
ID_9896,1978,1914,1,1,2,9,11761,
ID_9935,1978,1945,1,2,5,14,20355,
ID_9948,1978,1921,0,1,2,12,24879,
ID_9975,1978,1928,1,1,1,9,9952,
ID_9999,1978,1911,1,1,2,8,9952,
ID_10006,1978,1946,0,1,1,18,42068,
ID_10011,1978,1955,1,1,5,16,16284,
ID_10020,1978,1950,1,1,1,11,9952,
ID_10021,1978,1938,0,1,3,13,33926,
ID_10023,1978,1951,1,1,3,12,9952,
ID_10036,1978,1958,1,1,5,13,11761,
ID_10042,1978,1946,0,1,3,14,42068,
ID_10056,1978,1952,0,1,1,9,38449,
ID_10081,1978,1913,1,1,1,9,8142,
ID_10097,1978,1946,1,1,5,16,8142,
ID_10120,1978,1946,1,1,1,12,20355,
ID_10121,1978,1950,0,1,1,14,24879,
ID_10140,1978,1942,1,2,1,12,11761,
ID_10156,1978,1948,0,1,1,14,16284,
ID_10182,1978,1925,0,1,1,8,24879,
ID_10190,1978,1943,0,1,3,13,24879,
ID_10217,1978,1914,1,1,1,11,8142,
ID_10220,1978,1952,1,1,1,10,905,
ID_10221,1978,1946,1,1,1,11,6333,
ID_10232,1978,1914,0,1,1,19,67851,
ID_10235,1978,1949,0,1,5,12,20355,
ID_10247,1978,1950,0,1,1,20,3619,
ID_10256,1978,1947,0,1,1,18,16284,
ID_10317,1978,1935,1,1,3,18,29402,
ID_10362,1978,1928,0,1,1,11,33926,
ID_10370,1978,1940,1,1,1,11,8142,
ID_10371,1978,1919,0,1,1,8,29402,
ID_10383,1978,1927,0,1,2,9,6333,
ID_10405,1978,1924,1,1,5,8,16284,
ID_10411,1978,1921,1,1,4,14,20355,
ID_10415,1978,1945,0,1,1,15,67851,
ID_10428,1978,1938,0,1,1,8,67851,
ID_10449,1978,1928,0,1,1,8,13570,
ID_10457,1978,1956,0,1,5,13,6333,
ID_10497,1978,1938,0,1,1,16,67851,
ID_10522,1978,1953,1,2,1,12,905,
ID_10530,1978,1946,0,1,5,15,3619,
ID_10531,1978,1955,1,1,5,12,16284,
ID_10551,1978,1935,0,1,1,12,33926,
ID_10567,1978,1949,1,1,5,17,20355,
ID_10573,1978,1948,0,1,1,16,29402,
ID_10577,1978,1935,0,1,1,12,29402,
ID_10609,1978,1946,0,1,3,13,33926,
ID_10617,1978,1944,0,1,1,18,20355,
ID_10624,1978,1956,0,1,1,10,16284,
ID_10635,1978,1953,0,1,1,10,6333,
ID_10639,1978,1945,0,1,1,14,20355,
ID_10674,1980,1897,1,2,2,6,755,4
ID_10679,1980,1913,1,1,2,7,755,2
ID_10705,1980,1934,1,1,3,16,28323,3
ID_10718,1980,1953,1,1,4,12,8308,3
ID_10726,1980,1935,1,2,4,12,16994,3
ID_10740,1980,1954,1,1,5,16,16994,4
ID_10749,1980,1951,0,1,1,12,13595,3
ID_10762,1980,1961,0,1,5,10,755,3
ID_10764,1980,1924,0,1,1,12,35121,3
ID_10775,1980,1948,1,1,5,12,28323,4
ID_10784,1980,1949,1,1,1,12,16994,2
ID_10787,1980,1953,1,1,1,14,6798,2
ID_10795,1980,1940,0,1,3,14,56647,4
ID_10796,1980,1958,1,1,1,13,16994,4
ID_10801,1980,1942,0,1,1,12,28323,3
ID_10819,1980,1923,1,1,5,12,16994,3
ID_10826,1980,1925,0,1,1,8,20770,2
ID_10858,1980,1953,0,1,5,13,9819,4
ID_10865,1980,1929,1,1,1,19,28323,4
ID_10868,1980,1950,0,1,1,15,6798,3
ID_10875,1980,1935,1,1,1,16,13595,3
ID_10885,1980,1893,0,1,1,6,16994,2
ID_10896,1980,1947,0,1,1,12,35121,2
ID_10904,1980,1949,0,1,1,12,24547,4
ID_10915,1980,1952,1,2,3,12,11329,3
ID_10926,1980,1942,0,1,1,16,56647,4
ID_10932,1980,1953,0,1,1,16,28323,3
ID_10935,1980,1939,1,1,5,20,16994,4
ID_10986,1980,1923,1,2,1,8,5287,2
ID_11025,1980,1919,1,1,4,14,3021,2
ID_11075,1980,1948,0,1,5,20,139297,3
ID_11087,1980,1923,1,1,1,12,24547,4
ID_11088,1980,1916,1,1,2,12,16994,4
ID_11096,1980,1948,1,1,1,12,9819,3
ID_11111,1980,1945,1,1,1,12,9819,4
ID_11190,1980,1953,0,1,5,17,24547,4
ID_11197,1980,1912,0,1,1,13,6798,3
ID_11211,1980,1927,1,1,1,12,6798,3
ID_11221,1980,1935,0,1,1,13,24547,3
ID_11236,1980,1934,0,1,1,12,24547,3
ID_11263,1980,1921,1,1,1,18,16994,2
ID_11267,1980,1940,1,1,1,12,24547,2
ID_11274,1980,1947,1,1,3,10,9819,3
ID_11311,1980,1957,1,1,1,12,6798,2
ID_11336,1980,1930,1,1,2,13,16994,3
ID_11346,1980,1959,1,1,5,12,755,4
ID_11364,1980,1945,0,1,1,16,13595,4
ID_11369,1980,1961,1,1,1,9,3021,2
ID_11393,1980,1929,0,2,1,5,13595,3
ID_11415,1980,1925,0,1,1,17,56647,4
ID_11424,1980,1949,1,1,1,15,13595,4
ID_11432,1980,1922,0,1,1,19,139297,2
ID_11449,1980,1958,1,1,1,12,5287,4
ID_11462,1980,1913,0,1,1,16,13595,4
ID_11474,1980,1946,0,2,1,12,13595,4
ID_11501,1980,1943,0,1,1,10,32100,3
ID_11513,1980,1943,0,1,1,12,28323,3
ID_11521,1980,1915,1,1,5,12,16994,2
ID_11574,1980,1948,0,1,3,8,28323,2
ID_11577,1980,1946,0,1,1,13,5287,3
ID_11582,1980,1941,1,2,1,13,8308,3
ID_11587,1980,1954,0,1,1,12,20770,3
ID_11603,1980,1940,0,1,4,12,28323,3
ID_11607,1980,1915,0,1,1,12,13595,4
ID_11618,1980,1923,1,1,1,15,20770,3
ID_11620,1980,1940,0,1,1,20,56647,3
ID_11636,1980,1924,0,1,1,8,6798,2
ID_11637,1980,1922,0,1,1,8,56647,3
ID_11639,1980,1949,1,3,1,16,20770,3
ID_11700,1980,1920,0,1,1,12,32100,2
ID_11711,1980,1939,0,1,1,12,28323,4
ID_11726,1980,1922,0,1,1,9,16994,3
ID_11739,1980,1955,1,1,5,16,16994,2
ID_11741,1980,1934,0,1,3,15,11329,3
ID_11763,1980,1922,1,2,2,9,24547,4
ID_11766,1980,1953,1,2,5,12,11329,3
ID_11773,1980,1957,1,1,5,16,24547,3
ID_11778,1980,1938,1,1,1,13,20770,3
ID_11794,1980,1941,0,1,1,12,20770,3
ID_11819,1980,1947,1,1,1,12,28323,3
ID_11830,1980,1954,1,2,5,18,13595,3
ID_11899,1980,1957,1,1,5,13,11329,2
ID_11913,1980,1946,0,1,1,18,35121,4
ID_11926,1980,1932,0,1,3,12,32100,2
ID_11960,1980,1951,1,1,1,14,3021,3
ID_11975,1980,1943,0,1,1,7,755,3
ID_11992,1980,1948,1,2,5,12,11329,3
ID_12021,1980,1953,0,1,5,15,20770,4
ID_12056,1980,1939,1,1,2,12,6798,3
ID_12067,1980,1914,1,1,1,8,9819,4
ID_12070,1980,1948,1,1,1,12,3021,3
ID_12099,1980,1940,0,1,1,8,24547,3
ID_12116,1980,1952,1,1,1,12,13595,4
ID_12134,1982,1943,0,1,1,12,22605,3
ID_12138,1982,1929,1,1,1,12,13563,3
ID_12142,1982,1929,1,1,1,18,2411,4
ID_12144,1982,1953,0,1,5,12,25619,3
ID_12149,1982,1926,1,1,1,13,7836,3
ID_12164,1982,1943,0,2,5,13,25619,3
ID_12203,1982,1960,1,2,5,12,603,3
ID_12226,1982,1961,1,1,1,12,9042,2
ID_12232,1982,1922,0,1,1,12,22605,3
ID_12249,1982,1940,1,1,4,12,19591,4
ID_12251,1982,1951,1,1,1,12,10850,3
ID_12254,1982,1955,1,1,1,14,13563,3
ID_12258,1982,1941,1,1,1,14,13563,3
ID_12290,1982,1952,1,2,5,17,19591,3
ID_12311,1982,1930,0,2,1,12,51237,4
ID_12330,1982,1938,1,1,5,20,36167,3
ID_12334,1982,1938,0,1,1,14,36167,3
ID_12339,1982,1960,1,1,1,14,2411,4
ID_12346,1982,1932,0,1,1,12,36167,3
ID_12385,1982,1945,0,1,3,12,51237,2
ID_12387,1982,1958,0,1,1,12,13563,4
ID_12410,1982,1942,0,1,1,16,36167,4
ID_12437,1982,1951,1,2,1,18,28030,3
ID_12454,1982,1956,1,1,3,13,7836,3
ID_12474,1982,1936,0,1,1,16,36167,4
ID_12484,1982,1944,0,1,3,12,28030,1
