Countryorarea,gdp,incidence,mortality,Pill,IUD,Condom,Vaginalbarrier,europe
India,1300,3.7,2.5,3.1,2,5,0,0
Iran (Islamic Republic of),4600,11.6,7.9,18.4,8,6,0,0
Kazakhstan,8100,10.9,7,2.4,42,5,0,0
Kyrgyzstan,,6,3.8,1.7,38,6,0,0
Maldives,4700,,,13,2,9,0,0
Nepal,500,2.2,1.4,3.5,1,5,0,0
Pakistan,900,5.2,4,1.9,4,6,0,0
Sri Lanka,2400,5.8,3.8,6.7,5,4,0,0
Tajikistan,800,2.3,1.4,2.1,26,1,0,0
Turkmenistan,5700,3,2,1.2,39,2,0,0
Uzbekistan,1400,2.2,1.4,2.3,50,2,0,0
Cambodia,800,5.8,3.6,12.6,2,3,0,0
Indonesia,2900,10.6,8,13.2,6,1,0,0
Lao People's Democratic Republic,1000,4.4,2.5,12.9,3,1,0,0
Malaysia,8400,9.2,5.8,13.4,4,5,0,0
Myanmar,,5.8,3.3,9.8,2,0,0,0
Philippines,1900,10.1,5.3,13.2,4,2,0,0
Singapore,43000,20.8,5.2,10,5,22,0,0
Thailand,4800,6.5,2,30.9,1,1,0,0
Timor-Leste,,7.9,6.6,0.8,0,0,0,0
Viet Nam,1200,3.2,1.9,6.3,38,6,0,0
Armenia,3200,18,11.8,0.8,9,8,0,0
Azerbaijan,5800,8.4,5.5,1,6,3,0,0
Bahrain,19200,13.3,5.9,10.9,3,10,0,0
Georgia,2500,6.9,4.3,3.2,12,9,1,0
Iraq,2800,3.7,3.1,14.6,12,1,0,0
Israel,29000,55,7.6,13,30,4,4,0
Jordan,4300,13.9,10.2,7.5,24,3,0,0
Kuwait,51600,11.6,5,23.4,9,3,0,0
Lebanon,9500,25.4,17.7,10,17,0,0,0
Occupied Palestinian Territory,,7.4,5.5,7,25,,,0
Oman,18700,9,5.6,6.1,2,2,0,0
Qatar,75300,15,8.4,15.8,9,3,0,0
Saudi Arabia,17200,7.7,5.1,19.6,7,1,0,0
Syrian Arab Republic,2700,5.6,3.8,12.9,26,2,0,0
Turkey,9500,14.8,9.9,4.7,20,11,1,0
United Arab Emirates,60700,9.6,4.5,11.9,4,2,0,0
Yemen,1300,1.8,1.4,6.3,3,0,0,0
Belarus,5700,25.7,11.9,6.7,29,5,1,1
Bulgaria,6700,21.9,10.9,7,7,11,1,1
Czech Republic,18800,66.6,13.4,23.1,14,13,1,1
Hungary,12900,32.3,12.8,37.7,17,8,1,1
Moldova,1600,12.5,6.6,3.6,25,7,0,1
Poland,12200,44.3,12.1,2.3,6,9,2,1
Romania,7400,19.9,8.9,14,7,12,2,1
Russian Federation,10500,26.1,10.8,5.3,30,,0,1
Slovakia,16000,39.8,12.7,5,11,21,0,1
Ukraine,3000,20.3,9.6,3,19,14,1,1
Denmark,56300,72.5,19.8,26,11,22,3,1
Estonia,15300,42.8,22,3.9,36,16,1,1
Finland,45500,83.2,13.6,11.3,26,20,0,1
Latvia,10800,66.4,19.9,8,20,10,0,1
Lithuania,10300,66.7,19.3,3.2,14,13,0,1
Norway,88600,104.1,18.6,17.8,24,13,0,1
Sweden,50200,95.4,19.9,27.4,16,16,1,1
United Kingdom,36000,64,13.8,26,7,25,3,1
Albania,3900,20.5,10.9,1,1,2,0,1
Bosnia and Herzegovina,3600,24.6,9.4,4.5,8,3,0,1
Greece,28400,16.2,9.8,2.2,4,22,0,1
Italy,33800,58.4,9,13.6,6,14,0,1
Portugal,21400,50.1,15.2,45.3,6,9,1,1
Serbia,5300,18.9,11.5,3.4,6,8,0,1
Slovenia,23900,62.8,17,21.7,22,8,2,1
Spain,30300,57.2,10.5,13.1,7,27,0,1
TFYR Macedonia,,20.8,10.5,2.5,0,5,1,1
Austria,45900,70.7,12.2,30.8,7,7,1,1
Belgium,44700,100.5,11.6,46.7,5,5,0,1
France,39900,118.3,12.7,43.8,22,5,1,1
Germany,40600,82.6,11.7,52.6,5,1,1,1
Netherlands,47300,67.7,13.9,49,4,8,0,1
Switzerland,68700,91.3,14.4,34.1,6,14,1,1
Antigua and Barbuda,12700,,,26.2,1,6,3,0
Bahamas,24300,78.5,34.7,31.5,4,2,1,0
Barbados,13900,140,61.7,26.2,5,7,3,0
Cuba,5200,53.8,25.1,3.6,44,5,0,0
Dominica,5200,,,16.5,2,6,0,0
Dominican Republic,5300,68.8,30.6,13.5,2,1,0,0
Grenada,6300,,,15.2,3,22,,0
Haiti,700,78.4,35.5,3.3,0,5,0,0
Jamaica,4800,51.1,20.6,18,1,24,0,0
Puerto Rico,,102.2,13.8,9.7,1,6,0,0
Saint Lucia,6100,,,18.4,4,6,2,0
Saint Vincent and the Grenadines,5400,,,24.3,3,7,0,0
Trinidad and Tobago,16800,89.4,46.9,10.2,2,12,1,0
Belize,4400,48.7,23.7,15.6,2,7,0,0
Costa Rica,7900,59.5,17.1,25.6,7,11,0,0
El Salvador,3600,18.8,7.1,5.8,1,3,0,0
Guatemala,3100,36,12.8,3.4,2,2,0,0
Honduras,1900,45.2,16.6,11.3,7,3,0,0
Mexico,9200,33.4,12.2,4.7,12,6,0,0
Nicaragua,1200,37.7,13.8,14.6,6,3,0,0
Argentina,900,58.8,15.6,30.4,10,22,1,0
Bolivia,1900,24.7,7.9,3.6,10,4,0,0
Brazil,10400,50.3,16.3,20.7,1,4,0,0
Chile,12100,57.4,16.8,23.3,22,7,0,0
Colombia,6500,40,14.6,9.7,11,7,1,0
Ecuador,4000,43.8,17.7,13.3,10,4,0,0
Guyana,3000,59.8,31.8,12.2,8,6,0,0
Paraguay,2900,51.5,19.5,15,12,12,0,0
Peru,5300,37.1,14,7.1,6,8,1,0
Suriname,6700,50.9,16.9,24.5,2,3,0,0
Uruguay,12200,102.8,26.1,23.5,13,31,0,0
Venezuela (Bolivarian Republic of),10700,52.1,18.7,21.1,10,3,0,0
Canada,46600,101.5,11.4,14.4,3,9,1,0
United States of America,47600,83.5,9.7,18.3,2,12,0,0
Australia,57400,105,15.4,26.7,2,12,0,0
New Zealand,33000,99.7,15.1,20.5,3,11,1,0
