SubjectID,Country,Age,Gender,Psychological.Wellbeing,Sat.With.Life,Positive.Aff,Negative.Aff
ID147,1,14,2,4.222222222,6.8,4.4,1.4
ID148,2,18,1,3.5,3.6,4.3,2.9
ID149,2,18,2,5.055555556,5.8,3.5,1.3
ID150,2,18,2,4.111111111,4.2,3.4,2.6
ID151,1,16,1,3.555555556,5.4,4,3.1
ID152,2,18,2,4.722222222,4.8,3,1.1
ID153,2,18,1,3.277777778,5.6,3.3,2.8
ID154,1,18,1,4.333333333,5.6,3.5,2
ID155,2,19,1,4.944444444,7,4.1,1.6
ID156,1,15,1,4.722222222,6.8,3.8,2.7
ID157,2,18,1,4.611111111,5.6,3.2,1.9
ID158,1,18,2,4.944444444,6.2,3.6,1.7
ID159,1,18,2,5.333333333,5.2,3.8,1.7
ID160,2,18,2,3.833333333,3,2.6,3.4
ID161,1,14,2,4.388888889,4.6,3.3,1.9
ID163,2,18,2,4.277777778,3.8,3.3,1.8
ID165,2,17,1,4.166666667,3.2,3.1,2.5
ID166,2,18,1,3.833333333,5,3.4,2.4
ID167,1,18,1,3.666666667,5.2,2.5,2
ID168,2,17,1,3.611111111,1,2.2,3.4
ID169,2,18,2,4.388888889,2,4.2,3.9
ID171,1,18,1,4.666666667,5.8,4,1.4
ID172,2,17,1,4.222222222,6.8,4.1,3.3
ID173,1,15,1,4.277777778,4.2,3.3,2.7
ID174,1,18,1,4.944444444,3.4,4.8,1.1
ID176,2,19,2,4.444444444,3.6,3.8,4
ID178,2,18,1,5.166666667,5.8,4.2,2.2
ID180,2,18,2,5.222222222,7,4.3,1.7
ID181,2,18,2,4.555555556,2.4,2.5,2.7
ID182,1,18,1,4.777777778,4.6,4.2,2.9
ID183,1,15,2,3.888888889,4.8,4,2.1
ID184,2,17,1,3.833333333,3,3,2
ID186,2,18,1,5.666666667,6.6,4.4,1.5
ID187,1,14,2,4.777777778,4.2,3.6,2.3
ID188,1,15,1,4.388888889,4.4,3.5,2
ID189,1,14,1,4.333333333,5.2,3.1,2.1
ID190,2,18,2,4.333333333,5.8,2.6,2.2
ID191,2,19,2,4.666666667,5.4,4,1.4
ID193,2,18,2,3.611111111,1.4,2.8,3.5
ID194,2,18,1,3.555555556,2.2,2.8,1.6
ID195,2,19,1,3.944444444,4,3.1,3.3
ID196,2,19,2,5.555555556,5,4.1,1.9
ID197,1,17,2,5,4.4,4.3,2.2
ID198,1,19,2,4.777777778,4.6,3.4,1.9
ID200,1,19,2,3.777777778,5.6,3.4,1.9
ID201,2,19,1,3.666666667,2,3.1,2.4
ID202,2,18,1,3.666666667,3.2,3,2
ID203,1,18,2,4.888888889,4.6,4.6,3.3
ID204,1,14,1,5.055555556,6,4.1,2.1
ID205,2,17,1,4.666666667,4.8,3.7,2.5
ID206,1,16,2,4.777777778,5.6,4.1,2.7
ID208,1,18,2,4.722222222,3.6,3.4,3
ID209,1,18,2,4,3.4,3.7,3.5
ID210,2,18,2,4.222222222,1.4,2.3,1.6
ID211,1,14,2,3.777777778,4.4,3.3,2.5
ID212,1,18,1,4.888888889,6.6,3.4,1.6
ID214,2,18,1,4.222222222,3,3,2
ID215,1,16,2,5.8,3.2,2.3,2.7
ID216,1,17,2,4.055555556,4.2,3.1,1.9
ID217,2,17,2,2.611111111,1,2.3,4.1
ID218,2,19,1,3.555555556,2.6,2.4,2.4
ID220,1,15,2,4.222222222,4.8,3.5,2.6
ID221,2,19,2,4.444444444,5.8,4,2.5
ID222,1,16,1,4.444444444,3.6,2.9,1.9
ID223,2,18,1,3.611111111,3.2,3.3,3.1
ID226,2,18,1,5.222222222,4.8,3.7,1.4
ID227,2,19,2,3.166666667,6,3.2,2.1
ID228,1,16,2,4.555555556,3,3.7,2
ID229,1,17,2,4.5,2.4,3.9,1.9
ID230,1,16,2,4.333333333,3.4,2.9,1.6
ID231,2,19,1,5.111111111,4.2,4,1.9
ID232,2,18,1,4.388888889,4.8,3.8,2.4
ID233,1,18,2,4.833333333,5.4,3.2,1.1
ID234,1,16,1,4.333333333,3.8,4.6,2.1
ID236,2,18,1,4.5,6,4,2.3
ID237,2,18,1,4.222222222,6,2.8,2.5
ID238,2,18,2,5.055555556,5.6,4.3,1.6
ID239,1,14,1,4.333333333,5.4,3.6,2
ID240,1,19,1,4.277777778,4.4,3.4,2.1
ID241,1,17,2,4.222222222,2.6,3.8,3
ID243,1,16,1,4.333333333,4,3.1,2
ID244,2,18,1,4.388888889,4.4,4,1.7
ID247,2,18,1,4.833333333,5.6,3.6,1.4
ID248,2,18,1,4.777777778,5.6,3.9,1.4
ID249,1,16,1,4.555555556,4.6,4.5,1.5
ID250,2,19,2,4.722222222,5.8,4.4,1.6
ID252,2,19,2,4,1,1.8,3.8
ID253,2,19,1,5.277777778,5.2,4.3,1.9
ID254,2,17,1,3.833333333,3.6,3.1,2.1
ID255,1,16,2,4.222222222,6.8,3.2,3.1
ID256,1,16,2,4.5,3.8,3.1,1.9
ID257,1,17,1,4.111111111,4.6,4.5,2.3
ID258,2,18,2,3.388888889,1.8,3.4,2.2
ID259,1,14,2,3.888888889,5,3.1,2
ID260,1,19,1,4.611111111,5.6,3.7,2.2
ID261,2,18,1,3.722222222,3.4,3.4,2.2
ID263,1,15,1,4.055555556,4.4,3.5,2.2
ID264,2,19,1,4.166666667,3.6,3.2,2.4
ID265,2,18,1,5.055555556,6.4,3.6,1.4
ID266,1,14,1,4.277777778,5,3.4,1.7
ID267,2,18,1,4.222222222,6.8,3.2,1.8
ID268,2,19,2,4.444444444,5.4,3.5,1.5
ID269,2,17,2,5.055555556,7,4.7,1.8
ID270,2,19,1,3.5,6,3.1,3.2
ID271,2,17,1,3.777777778,3.8,3.4,2.8
ID272,2,18,1,2.722222222,1,1.5,2.6
ID273,2,18,1,3.777777778,2.8,3,2.8
ID274,2,17,2,4.222222222,5.2,2.4,2.4
ID275,2,18,2,4.055555556,3.2,2.9,2.4
ID276,2,18,1,4.222222222,5.4,3.6,2.6
ID277,2,18,1,3.777777778,5.6,3.9,2.9
ID278,1,16,2,4.222222222,4.6,2.8,1.4
ID279,2,18,1,3.888888889,2.6,2,3.5
ID281,1,18,2,4.055555556,3,3.9,2
ID282,1,16,2,4.833333333,6.4,4.2,2.5
ID283,1,15,2,4.111111111,2.4,4,1.9
ID284,1,16,1,4.111111111,3.6,2.8,1.8
ID285,1,18,2,4.444444444,3.8,3,2.1
ID286,1,18,2,4.166666667,4.4,3.6,1.6
ID287,1,18,1,4.222222222,5,3.7,2
ID288,1,16,2,4.833333333,3.4,3.6,2.2
ID289,1,19,1,4.166666667,3.8,3.2,1.8
ID290,1,14,2,3.611111111,2.4,2.4,2.7
ID291,2,18,1,3.055555556,1.2,3.2,2.8
ID292,1,16,1,3.888888889,2.6,2.9,2.5
ID293,2,19,1,5.111111111,5.8,3.1,2.2
ID294,1,17,2,3.777777778,1,1.8,4.1
ID295,2,17,1,3.166666667,1.4,2.9,3.2
ID296,1,19,1,5,5,3.6,1.2
ID297,2,19,2,4.222222222,4,4,3.2
ID298,1,17,2,5.166666667,5.6,4,2.1
ID299,1,18,2,4,4,2.9,2.1
ID300,1,15,1,4.833333333,5.8,3.2,1.9
