id,female,ses,schtyp,prog,read,write,math,science,socst,honors,awards,cid
120,1,3,1,2,63,52,54,50,51,0,1,12
121,1,2,1,3,68,59,53,63,61,0,2,17
122,1,2,1,2,52,59,58,53,66,0,2,12
123,0,3,1,1,68,59,56,63,66,0,2,18
124,1,1,1,3,42,54,41,42,41,0,1,5
125,1,1,1,2,68,65,58,59,56,1,5,18
126,0,2,1,1,42,31,57,47,51,0,0,4
127,0,3,1,2,63,59,57,55,56,0,2,15
128,0,3,1,2,39,33,38,47,41,0,0,2
129,1,1,1,1,44,44,46,47,51,0,0,6
130,1,3,1,1,43,54,55,55,46,0,1,10
131,1,3,1,2,65,59,57,46,66,0,2,14
132,0,2,1,2,73,62,73,69,66,1,3,20
133,0,2,1,3,50,31,40,34,31,0,0,1
134,0,1,1,1,44,44,39,34,46,0,0,2
135,1,1,1,2,63,60,65,54,66,1,2,17
136,0,2,1,2,65,59,70,63,51,0,2,19
137,1,3,1,2,63,65,65,53,61,1,5,17
138,1,2,1,3,43,57,40,50,51,0,2,7
139,1,2,1,2,68,59,61,55,71,0,2,17
140,0,2,1,3,44,41,40,50,26,0,0,4
141,0,3,1,3,63,44,47,53,56,0,0,10
142,1,2,1,3,47,42,52,39,51,0,0,5
143,0,2,1,3,63,63,75,72,66,1,4,20
144,0,3,1,1,60,65,58,61,66,1,5,17
145,1,2,1,3,42,46,38,36,46,0,0,2
146,0,3,1,2,55,62,64,63,66,1,3,17
147,1,1,1,2,47,62,53,53,61,1,3,11
148,1,2,1,3,42,57,51,47,61,0,2,8
149,0,1,1,1,63,49,49,66,46,0,0,14
150,0,2,1,3,42,41,57,72,31,0,0,11
151,1,2,1,3,47,46,52,48,46,0,0,7
152,1,3,1,2,55,57,56,58,61,0,2,13
153,0,2,1,3,39,31,40,39,51,0,0,1
154,0,3,1,2,65,65,66,61,66,1,5,19
155,0,2,1,1,44,44,46,39,51,0,0,3
156,1,2,1,2,50,59,53,61,61,0,2,13
157,0,2,1,1,68,59,58,74,66,0,2,19
158,1,2,1,1,52,54,55,53,51,0,1,11
159,0,3,1,2,55,61,54,49,61,1,3,12
160,1,2,1,2,55,65,55,50,61,1,5,13
161,1,1,1,2,57,62,72,61,61,1,3,18
162,1,2,1,3,57,52,40,61,56,0,1,11
163,1,1,1,2,52,57,64,58,56,0,2,15
164,0,2,1,3,31,36,46,39,46,0,0,1
165,0,1,1,3,36,49,54,61,36,0,0,8
166,1,2,1,2,52,59,53,61,51,0,2,13
167,0,2,1,1,63,49,35,66,41,0,0,11
168,0,2,1,2,52,54,57,55,51,0,1,12
169,0,1,1,1,55,59,63,69,46,0,2,18
170,0,3,1,2,47,62,61,69,66,1,3,16
171,0,2,1,2,60,54,60,55,66,0,1,14
172,0,2,1,2,47,52,57,53,61,0,1,10
173,1,1,1,1,50,62,61,63,51,1,3,16
174,0,2,2,2,68,59,71,66,56,0,2,20
175,1,3,2,1,36,57,42,50,41,0,2,6
176,0,2,2,2,47,47,41,42,51,0,0,4
177,0,2,2,2,55,59,62,58,51,0,2,15
178,0,2,2,3,47,57,57,58,46,0,2,12
179,1,2,2,2,47,65,60,50,56,1,5,13
180,1,3,2,2,71,65,69,58,71,1,5,20
181,0,2,2,2,50,46,45,58,61,0,0,8
182,1,2,2,2,44,52,43,44,51,0,1,6
183,0,2,2,2,63,59,49,55,71,0,2,13
184,1,2,2,3,50,52,53,55,56,0,1,10
185,0,2,2,2,63,57,55,58,41,0,2,15
186,1,2,2,2,57,62,63,55,41,1,3,16
187,1,2,2,1,57,41,57,55,52,0,0,10
188,1,3,2,2,63,62,56,55,61,1,3,16
189,0,2,2,2,47,59,63,53,46,0,2,13
190,1,2,2,2,47,59,54,58,46,0,2,12
191,1,3,2,2,47,52,43,48,61,0,1,7
192,0,3,2,2,65,67,63,66,71,1,7,19
193,1,2,2,2,44,49,48,39,51,0,0,5
194,1,3,2,2,63,63,69,61,61,1,4,19
195,0,2,2,1,57,57,60,58,56,0,2,15
196,0,3,2,2,44,38,49,39,46,0,0,3
197,0,3,2,2,50,42,50,36,61,0,0,5
198,1,3,2,2,47,61,51,63,31,1,3,13
199,0,3,2,2,52,59,50,61,61,0,2,13
200,0,2,2,2,68,54,75,66,66,0,1,19
